id,pr01,pr02,pr03,pr04,pr05,pr06,pr07,pr08,pr09,pr10,co01,co02,co03,co04,co05,co06,co07,co08,co09,co10,ut01,ut02,ut03,ut04,ut05,ut06,ut07,ut08,ut09,ut10,ut11,ut12,fa01,fa02,fa03,fa04,fa05,fa06,fa07,fa08,fa09,fa10,de01,de02,de03,de04,de05,de06,de07,de08,de09,de10,de11,un01,un02,un03,un04,un05,un06,un07,un08,un09,un10,un11,un12
4f9W10V6rs,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,2,2,4,3,2,3,3
4FNyYiB2m7,4,3,3,3,3,4,2,4,3,3,1,1,4,4,1,1,1,2,1,1,5,4,4,3,4,3,1,4,4,1,4,4,1,2,1,1,1,2,2,2,1,4,1,0,1,1,4,3,3,1,4,1,1,3,2,3,3,3,1,2,2,2,2,2,2
4OOH0veBaG,3,1,3,4,0,3,1,3,4,1,1,3,4,5,2,0,1,1,1,0,4,3,4,4,4,4,4,3,3,2,0,5,3,3,0,0,2,0,2,3,1,4,3,1,0,2,4,1,3,4,4,0,2,4,3,3,3,3,4,3,2,0,2,2,2
4PS3dGM6uP,2,1,2,1,0,3,0,2,1,3,0,1,1,3,0,1,1,2,0,1,4,3,3,1,3,4,3,0,5,2,1,5,2,2,2,0,1,1,1,1,2,2,1,0,0,4,1,0,2,1,2,0,1,3,1,2,1,2,1,0,1,1,2,4,3
4qqUrRUpeN,2,3,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,2,2,2,3,3,3,3,3,2,2,2,2,3,2,2,2,2,3,2,2,3,3,2,2,3,3,3,3,2,2,3,3,3,2,3,2
4twihgKt66,2,3,2,2,3,3,3,2,3,3,2,2,3,3,2,3,2,2,2,2,3,2,4,3,3,3,3,3,2,3,3,3,2,2,3,2,2,3,3,5,3,3,2,2,2,2,4,4,4,2,3,2,3,1,1,0,1,0,0,0,0,0,1,0,2
4UTTkH0nJu,2,3,2,4,2,4,1,3,2,3,2,2,1,3,1,3,1,2,1,3,5,5,4,3,2,4,2,3,3,1,2,3,3,3,1,0,3,0,2,2,3,3,3,0,2,2,4,1,4,3,4,2,2,3,3,2,3,4,2,1,3,2,2,2,3
52ias4Hp6G,1,4,0,2,3,3,2,2,2,5,4,4,4,1,1,3,2,2,3,4,3,4,1,3,4,3,5,3,1,0,3,3,3,4,5,3,3,1,1,3,1,3,5,2,3,1,3,4,5,4,2,4,0,2,2,4,4,4,3,5,5,4,2,5,3
57iNTSlTke,3,3,4,3,3,4,3,3,4,3,3,2,3,4,2,4,1,1,1,3,5,5,5,5,3,5,5,5,5,3,4,5,1,0,0,1,2,1,4,0,1,2,3,4,3,1,4,3,3,4,4,3,3,4,4,4,4,4,5,3,4,4,4,4,4
5aN9ZjtkbN,3,1,3,2,0,5,3,3,3,1,3,2,3,3,3,2,1,1,1,2,5,5,5,4,4,5,4,5,4,3,1,5,2,0,0,1,2,3,3,2,2,2,3,2,1,2,4,0,3,2,2,3,1,2,2,2,2,3,1,2,2,2,2,2,3
5Be3ukVGKy,2,3,2,2,2,3,3,3,2,2,3,3,2,3,3,2,2,3,3,2,3,3,3,3,3,2,3,3,2,4,3,3,2,2,2,2,2,2,3,3,3,2,3,2,3,2,2,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3
5c3yFSkAy8,3,3,3,3,2,3,2,3,3,3,4,3,3,3,2,3,2,2,2,3,3,3,3,1,2,4,4,4,3,4,1,4,1,2,1,3,1,1,3,1,1,2,4,2,3,2,4,1,3,3,3,3,3,5,3,3,3,4,4,4,4,3,2,4,4
5cKoJg26PJ,3,4,4,4,4,4,4,4,3,4,3,4,4,4,3,3,1,2,2,2,4,4,5,4,3,4,3,4,5,1,4,4,4,4,0,1,4,4,3,4,4,5,3,2,4,1,4,4,4,4,4,4,4,3,2,3,2,2,1,2,3,2,2,2,3
5cUyEml8aC,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,4,3,4,2,3,2,3,3,3,3,3,3,2,4,1,2,3,3,3,4,3,1,3,3,2,2,4,3,3,3,4,3,3,3,3,2,3,3,3,2,3,2,3,3,2
5DxhOpTkau,3,3,4,4,3,3,3,3,3,3,2,3,3,4,2,4,0,2,2,1,5,4,5,5,4,4,4,3,4,2,5,3,2,1,1,1,2,2,3,2,2,2,3,3,3,1,5,3,3,3,4,2,1,3,3,4,2,3,3,2,3,3,3,3,3
5Gp1ImpHd9,2,2,2,3,1,3,1,1,1,0,2,2,3,5,2,3,1,2,3,3,3,3,3,3,0,2,3,2,5,3,3,2,2,4,1,0,2,1,2,3,3,3,2,0,1,3,3,1,2,3,3,1,1,4,3,3,3,3,4,2,4,4,3,4,4
5LKHNYGhXh,4,1,5,3,3,1,4,5,5,4,4,4,4,4,3,1,0,1,4,1,5,5,5,5,1,3,5,5,4,0,4,5,4,5,0,1,4,4,4,4,5,5,1,2,1,0,4,3,3,4,5,4,4,3,0,1,1,2,5,0,1,1,0,0,0
5m4M2XIyjJ,1,1,3,2,1,3,1,3,2,2,1,1,3,4,1,2,4,1,1,1,4,4,4,3,4,4,2,4,3,1,1,4,1,2,1,1,2,2,2,2,2,2,3,1,0,1,4,1,3,2,4,1,2,4,5,5,4,5,5,5,5,5,5,5,5
5n0UsXGvA3,4,4,3,3,2,4,4,3,3,4,5,2,1,3,5,5,1,2,4,4,4,4,3,2,4,3,4,5,5,1,3,4,1,1,1,4,4,4,0,2,0,1,5,3,4,1,1,5,2,4,1,4,0,4,4,4,4,3,2,4,4,3,4,3,4
5svwlAueuh,3,3,3,4,1,5,2,3,3,2,3,1,3,5,2,4,2,2,1,1,5,4,4,4,4,4,3,4,3,1,1,3,1,1,0,1,2,1,3,2,0,1,3,1,1,2,5,1,3,3,4,2,2,4,2,3,3,4,3,3,3,4,2,3,4
62v4TBSJgK,3,4,4,4,4,4,3,3,3,2,1,2,1,4,1,2,1,1,1,2,3,4,5,4,3,3,3,4,4,1,4,3,4,4,1,2,4,3,4,4,4,4,2,3,1,1,1,3,2,4,4,2,3,3,2,1,2,3,2,2,2,2,2,2,2
6A9a5ry2Qg,3,3,3,3,4,4,3,3,3,2,3,2,3,4,2,2,2,2,2,2,3,3,3,3,3,4,3,3,3,2,4,3,3,3,2,2,3,3,3,3,4,3,3,3,2,1,3,3,4,3,3,3,2,2,3,1,2,3,1,1,2,3,1,3,3
6bZyQh4wwS,4,1,3,3,3,4,3,3,4,4,1,1,0,1,3,2,1,2,1,4,5,5,3,4,2,3,5,2,4,2,3,5,1,2,2,1,0,1,3,2,2,1,3,3,3,3,5,2,2,3,4,3,2,1,1,5,3,3,1,1,1,1,3,0,3
6CR0JBmqPm,2,3,2,3,2,3,3,3,3,3,1,1,3,3,1,3,2,3,1,3,4,3,3,3,2,3,3,3,3,3,3,3,1,2,2,1,1,1,2,2,1,2,1,1,1,2,3,2,2,1,3,1,1,0,0,2,0,0,0,0,1,0,0,0,0
6ILe2qG7co,1,2,1,2,1,3,1,4,2,1,2,1,3,4,1,2,1,2,1,2,3,4,3,4,1,4,4,4,4,0,1,4,1,2,1,0,1,2,3,3,1,3,1,1,1,3,5,1,3,3,4,3,2,2,1,3,1,1,1,1,1,2,1,1,3
6PE8whHsh2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,2,2,3,3,3,2,2,4,3,2,3,5,3,3,3,3,3,3,3,2,3,3,3,3,3,3
6x73x6A7PB,2,1,2,4,0,0,0,0,3,1,0,4,0,4,0,0,1,0,0,2,0,0,2,2,0,0,1,1,0,0,2,0,4,5,0,0,3,2,0,5,4,5,0,0,0,4,0,0,1,0,5,0,1,5,3,1,3,4,2,2,4,5,3,3,4
6Xy3M9PQhf,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,1,2,2,2,3,3,3,2,1,2,2,3,0,2,2,1,1,1,1,1,1,1,2,2,3,2,2,1,2,3,2,1,2,2,3,0,2,2,2,2,2,3,2,2,2,2,1,1,2
75akBZ2cCk,2,3,2,2,2,2,2,3,2,2,3,3,2,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,1,2,2,2,2,3,3,3,2,2,2,3,2,2,2,3,2,2,1,2,3,1,1,1,1,1,4,2,1,1
7C64sA56mR,3,3,3,4,0,1,1,3,1,2,1,2,2,3,1,3,2,1,1,1,4,4,4,3,0,3,1,2,2,0,1,1,2,1,1,1,1,1,2,1,0,0,0,1,2,2,5,0,3,2,5,0,2,4,4,5,4,4,4,3,4,4,4,4,4
7DI6uVykBg,3,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,3,2,2,2,3,4,3,3,3,3,3,4,4,2,2,3,2,1,1,1,2,2,1,2,3,2,3,3,1,2,4,2,2,3,5,2,2,3,3,4,3,3,4,1,3,2,4,2,3
7eOT5lZQEB,4,3,4,3,1,4,3,4,3,3,3,3,3,4,1,2,3,1,2,2,3,5,5,5,4,5,4,4,3,1,3,4,3,3,1,2,1,4,4,4,3,0,1,3,3,1,5,1,4,3,5,3,4,4,4,4,3,3,3,4,3,3,3,4,4
7f2oQb1aUo,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,2,2,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3
7GgkewMfFt,3,3,3,3,5,4,2,4,3,4,3,3,4,4,3,3,1,2,3,3,5,4,4,4,5,4,3,4,2,1,5,3,3,2,1,1,4,3,2,2,2,3,3,0,0,2,4,4,4,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4
7HhfKTqNrj,5,5,0,0,5,5,5,5,5,5,1,5,5,5,5,5,0,0,5,5,5,5,5,3,5,5,5,5,5,0,5,5,2,0,0,0,0,5,0,0,0,0,0,5,0,0,5,2,5,0,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5
7j3AIaEFRm,3,2,2,2,2,3,3,3,3,3,3,3,4,5,3,3,2,2,3,2,5,4,4,4,5,4,4,4,4,2,2,4,4,4,1,2,3,3,3,4,3,4,3,3,3,2,4,2,4,3,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1
7LHU43cOcV,0,0,2,0,0,3,0,0,1,1,1,0,0,3,1,0,2,2,0,0,5,4,4,4,3,3,2,2,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,1,0,0,0,3,4,3,4,3,3,3,0,0,4,1,3
7td08uSsjV,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,1,1,3,3,4,4,5,3,5,3,4,4,3,2,4,4,4,2,2,2,4,3,2,2,3,4,3,4,4,1,5,4,3,4,5,3,3,4,3,4,3,3,5,3,3,4,3,3,3
7UIn26fTXL,3,3,3,3,1,4,4,3,3,3,3,3,2,4,2,3,1,3,2,3,4,4,3,4,4,4,5,3,4,2,1,3,4,1,1,3,3,2,3,2,1,4,4,2,2,1,4,2,4,4,3,3,3,4,4,4,4,4,3,4,4,2,4,3,4
7vt1HW09Ls,4,3,3,3,3,4,3,4,4,3,2,2,3,4,2,1,2,2,2,2,5,4,4,4,2,4,4,4,3,3,4,3,3,3,1,2,3,3,3,3,2,2,3,2,1,2,3,2,3,3,3,3,3,1,1,4,2,2,1,1,2,2,1,2,2
84DjHfSbZ8,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,1,3,4,4,5,5,5,4,4,4,5,4,4,2,4,4,4,2,3,3,3,4,4,2,2,3,4,4,4,2,5,4,4,4,5,4,4,3,3,2,3,3,3,3,3,3,3,3,3
8GZ2r4wnDi,3,4,2,3,1,3,2,2,3,2,2,2,3,3,1,2,1,1,1,3,5,4,4,4,4,5,2,3,5,1,2,4,3,4,2,1,3,2,2,2,3,4,3,2,1,2,4,1,3,2,4,2,2,3,3,0,1,3,1,1,3,1,1,3,3
8jPrxjJBbG,3,3,4,3,3,4,3,3,2,3,3,2,2,5,3,1,1,2,2,3,3,3,4,2,4,4,3,3,4,3,2,3,3,1,2,2,3,2,2,1,2,2,3,1,2,2,3,1,2,1,3,1,2,3,2,3,3,3,3,3,3,2,3,3,2
8mQ67yVVHV,3,3,2,2,3,3,2,2,3,2,5,0,0,2,1,4,0,4,3,3,4,2,3,4,1,3,3,4,5,2,2,4,1,3,3,3,4,4,1,4,1,0,2,4,2,4,4,3,3,3,2,2,3,2,1,1,3,1,2,4,3,4,3,1,3
8zGxt9GFrV,4,1,4,3,1,4,4,4,3,5,4,4,0,4,1,1,1,1,2,4,5,5,4,4,4,4,1,4,3,2,1,4,2,1,0,1,3,4,1,4,1,4,2,3,4,1,4,1,3,2,4,3,3,3,1,4,2,3,2,0,3,0,3,2,1
93gAEKkygE,3,4,4,4,1,4,3,1,2,3,3,4,2,1,2,2,0,3,2,3,2,1,3,1,2,1,1,2,1,4,1,2,2,3,2,2,2,2,2,4,3,1,4,4,2,2,3,3,1,3,1,1,3,1,4,1,1,1,3,2,1,2,1,4,1
97CkjDc1VC,3,3,1,3,3,3,2,3,2,3,3,2,2,3,3,2,3,3,2,3,3,3,3,2,2,2,3,3,3,3,2,2,3,3,2,3,2,2,0,2,2,2,3,2,3,5,2,3,1,1,2,2,4,2,2,2,2,1,4,3,1,3,3,3,2
9JMVlzTjPj,3,3,4,3,4,3,2,1,2,2,2,3,3,5,2,2,1,1,2,1,5,3,4,3,3,4,3,2,3,2,5,3,2,3,1,0,3,2,3,3,3,4,2,2,2,1,5,3,3,3,4,2,3,3,3,4,3,3,3,3,3,3,1,3,3
9mhyQBSpBH,3,3,2,2,2,3,2,3,2,2,2,2,3,3,2,2,2,3,4,3,2,2,2,2,2,3,3,2,3,3,3,3,3,2,4,2,2,3,2,2,3,2,2,3,3,3,3,3,2,2,3,2,3,3,2,3,3,4,3,3,3,3,2,4,3
9mPIK2zsgc,3,1,4,4,1,4,4,4,4,1,3,1,4,5,1,2,2,1,1,3,5,5,4,1,4,4,5,4,4,1,1,5,4,4,1,1,4,1,1,3,2,4,3,1,3,1,5,0,3,4,5,1,1,4,2,4,1,3,1,2,4,2,2,2,3
9PxMVEgIgX,2,3,2,2,2,4,2,3,1,1,3,3,3,1,2,3,3,4,1,3,3,3,4,4,4,5,3,2,3,3,4,5,3,2,1,3,4,3,4,2,4,3,4,2,4,2,3,2,4,3,2,4,1,4,4,4,4,4,4,3,3,4,4,4,4
9qAfBaDbG6,3,3,3,3,3,3,3,3,3,3,4,2,3,2,1,1,1,2,1,2,5,5,4,4,5,4,5,4,4,3,3,5,2,2,2,2,2,4,3,1,1,2,4,4,4,2,4,3,4,3,4,4,4,2,2,3,2,2,2,2,2,2,2,3,3
9qnKRL8wzM,5,5,4,4,1,5,5,5,3,5,5,5,5,5,5,5,0,3,3,5,5,5,5,5,5,5,5,5,5,0,5,5,5,0,5,3,5,5,3,3,3,5,3,4,5,0,5,2,2,5,5,5,3,3,2,2,2,2,0,2,1,2,2,2,2
9sPzp5mtke,4,2,4,3,4,5,3,4,4,4,2,4,4,5,3,5,0,2,2,3,5,5,5,3,4,5,4,5,5,4,4,4,3,0,1,3,1,4,4,2,4,1,4,4,3,1,5,4,4,4,5,4,3,4,3,4,3,4,2,4,4,4,2,3,4
9TJEgvJPsi,3,4,4,4,4,3,3,4,3,3,3,3,3,5,1,1,0,1,2,2,5,4,4,3,3,3,4,4,3,3,4,4,3,2,1,2,2,2,3,2,1,0,2,2,3,2,5,4,3,3,5,3,4,3,3,3,3,3,2,2,2,2,2,3,2
a0ZkD0fyb2,5,5,5,3,5,5,5,5,5,3,5,4,5,5,5,5,3,2,5,3,5,5,5,2,5,5,5,5,5,3,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,1,2,4,1,2,1,0,2,1,2,1,2
a3DFQSxlbN,3,2,4,3,2,2,2,3,3,3,2,1,2,2,1,1,3,0,0,2,4,4,4,2,3,3,2,3,3,1,2,3,2,2,1,1,1,1,2,2,2,2,2,1,2,2,3,2,3,3,3,2,3,4,4,5,4,4,4,3,3,4,3,4,4
A5ZbSiQdF2,0,2,2,5,0,3,3,3,1,3,0,0,1,5,0,0,1,0,0,0,4,4,4,4,0,3,0,1,1,0,3,3,2,2,3,1,2,1,4,1,2,2,1,2,0,1,4,0,2,0,4,1,1,3,3,3,2,3,4,1,3,3,1,3,4
Arf8pib9J0,2,2,2,2,2,3,3,3,3,2,2,1,3,2,2,2,2,2,2,2,3,3,3,3,1,3,2,3,2,2,1,1,1,2,1,1,3,2,2,2,2,1,2,3,1,2,3,1,2,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2
aRFd1CjJx3,2,2,2,3,3,2,2,3,3,3,3,2,3,2,3,2,3,3,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,3,3,2,2,2,3,2,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
arkqxLwMN0,2,4,1,5,1,3,2,3,3,4,1,1,1,3,0,2,1,0,1,1,3,4,3,2,1,3,4,5,1,3,3,4,1,0,2,2,0,2,2,2,1,1,1,1,0,4,4,2,2,2,3,1,1,5,5,4,4,4,3,1,4,5,2,4,5
arL4OuyxJk,2,2,3,2,2,3,2,3,3,2,3,3,2,3,2,3,1,2,2,2,3,3,3,3,2,3,3,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2,3,3,2,2,3,2,2,3,3,3,2,3,3,1,2,2,2,2,2,2,2
AvgzFU3p3P,3,2,3,2,3,3,2,3,1,3,2,2,2,3,1,3,2,2,2,3,5,3,4,3,3,2,1,4,3,2,3,5,2,2,2,2,2,3,3,2,2,2,2,3,2,1,4,3,2,3,3,3,3,3,2,2,3,2,2,2,3,2,2,3,3
