trialtype,setsize,time1,click1x,click1y,time2,click2x,click2y,id,platform,posx1,posy1,posxmin1,posxmax1,posymin1,posymax1,posx2,posy2,posxmin2,posxmax2,posymin2,posymax2
tray,8,1.749160647392273,79,82,0.9506376385688782,20,-405,1,ios,68,92,-7,143,17,167,450,-350,350,550,-425,-275
tray,8,1.027023077011108,242,87,2.728909969329834,7,-395,1,ios,216,90,141,291,15,165,450,-350,350,550,-425,-275
tray,8,1.129357695579529,-192,-90,1.664297223091125,42,-381,1,ios,-227,-86,-302,-152,-161,-11,450,-350,350,550,-425,-275
tray,8,1.025859475135803,-22,-79,1.045738458633423,2,-386,1,ios,-50,-75,-125,25,-150,0,450,-350,350,550,-425,-275
dots,8,1.145333528518677,-207,190,1.54793381690979,26,-388,1,ios,-213,213,-288,-138,138,288,450,-350,350,550,-425,-275
dots,8,0.9466906189918518,-74,183,1.100417733192444,7,-369,1,ios,-77,205,-152,-2,130,280,450,-350,350,550,-425,-275
dots,8,1.276276230812073,85,211,2.127126932144165,41,-358,1,ios,91,224,16,166,149,299,450,-350,350,550,-425,-275
dots,8,2.509210348129272,249,222,2.295724868774414,-14,-385,1,ios,224,221,149,299,146,296,450,-350,350,550,-425,-275
dots,8,1.011499285697937,-256,17,0.9117874503135681,-65,-373,1,ios,-250,56,-325,-175,-19,131,450,-350,350,550,-425,-275
dots,8,1.551071763038635,-60,54,1.143373727798462,42,-374,1,ios,-74,85,-149,1,10,160,450,-350,350,550,-425,-275
dots,8,1.212799787521362,79,55,1.112470388412476,26,-372,1,ios,90,51,15,165,-24,126,450,-350,350,550,-425,-275
dots,8,1.444012641906738,219,50,1.144267439842224,-29,-393,1,ios,205,78,130,280,3,153,450,-350,350,550,-425,-275
dots,8,1.959641575813293,-186,-96,1.714366793632507,18,-350,1,ios,-230,-75,-305,-155,-150,0,450,-350,350,550,-425,-275
dots,8,2.293095350265503,-79,-97,0.5800623297691345,-12,-394,1,ios,-95,-92,-170,-20,-167,-17,450,-350,350,550,-425,-275
dots,8,1.025835990905762,72,-95,0.8310145139694214,7,-368,1,ios,73,-74,-2,148,-149,1,450,-350,350,550,-425,-275
dots,8,1.713541030883789,204,-102,1.496776938438416,-19,-375,1,ios,239,-91,164,314,-166,-16,450,-350,350,550,-425,-275
dots,8,1.562125563621521,-270,-234,0.66084223985672,-2,-378,1,ios,-239,-237,-314,-164,-312,-162,450,-350,350,550,-425,-275
dots,8,1.853423357009888,-83,-247,1.797000765800476,16,-362,1,ios,-86,-247,-161,-11,-322,-172,450,-350,350,550,-425,-275
dots,8,2.343857526779175,82,-219,0.5471059083938599,26,-388,1,ios,74,-201,-1,149,-276,-126,450,-350,350,550,-425,-275
dots,8,2.524383544921875,231,-203,1.096870541572571,-56,-383,1,ios,246,-215,171,321,-290,-140,450,-350,350,550,-425,-275
dots,8,2.42706036567688,109,-194,0.680344820022583,10,-365,1,ios,69,-210,-6,144,-285,-135,450,-350,350,550,-425,-275
dots,8,2.027965784072876,-91,-234,1.263060688972473,-34,-388,1,ios,-69,-233,-144,6,-308,-158,450,-350,350,550,-425,-275
dots,8,1.404821991920471,-255,-219,1.88161027431488,-3,-394,1,ios,-239,-210,-314,-164,-285,-135,450,-350,350,550,-425,-275
dots,8,1.22650671005249,277,-47,0.8804592490196228,-54,-370,1,ios,240,-53,165,315,-128,22,450,-350,350,550,-425,-275
dots,8,1.34454345703125,116,-76,0.8779460191726685,36,-375,1,ios,77,-68,2,152,-143,7,450,-350,350,550,-425,-275
dots,8,1.929132223129272,-89,-74,0.8630596995353699,-24,-378,1,ios,-80,-65,-155,-5,-140,10,450,-350,350,550,-425,-275
dots,8,1.407442092895508,-159,-63,0.7654128074645996,-37,-402,1,ios,-204,-66,-279,-129,-141,9,450,-350,350,550,-425,-275
dots,8,1.218719124794006,273,69,0.8525600433349609,4,-380,1,ios,245,64,170,320,-11,139,450,-350,350,550,-425,-275
dots,8,1.17522668838501,55,66,2.412772417068481,-25,-374,1,ios,53,73,-22,128,-2,148,450,-350,350,550,-425,-275
dots,8,2.027286291122437,261,-242,1.280400276184082,54,-364,1,ios,243,-241,168,318,-316,-166,450,-350,350,550,-425,-275
dots,8,1.161656141281128,66,-261,0.6633898019790649,12,-402,1,ios,63,-236,-12,138,-311,-161,450,-350,350,550,-425,-275
dots,8,1.978482246398926,-104,-229,0.6310283541679382,26,-384,1,ios,-81,-243,-156,-6,-318,-168,450,-350,350,550,-425,-275
dots,8,1.676544785499573,-232,-236,0.5811549425125122,25,-370,1,ios,-245,-228,-320,-170,-303,-153,450,-350,350,550,-425,-275
dots,8,0.9255973100662231,248,-67,0.8078275322914124,-6,-394,1,ios,240,-62,165,315,-137,13,450,-350,350,550,-425,-275
dots,8,1.558075904846191,123,-59,1.181227564811707,-18,-401,1,ios,88,-52,13,163,-127,23,450,-350,350,550,-425,-275
dots,8,1.307226777076721,-64,-32,0.9316794872283936,-44,-362,1,ios,-89,55,-164,-14,-20,130,450,-350,350,550,-425,-275
dots,8,1.276838898658752,-205,-87,1.145521759986877,-15,-390,1,ios,-216,-79,-291,-141,-154,-4,450,-350,350,550,-425,-275
dots,8,1.339332938194275,194,36,1.780300259590149,-1,-377,1,ios,215,54,140,290,-21,129,450,-350,350,550,-425,-275
dots,8,1.809192180633545,65,89,1.182342290878296,33,-319,1,ios,74,94,-1,149,19,169,450,-350,350,550,-425,-275
dots,8,1.039897322654724,-84,63,0.8896834850311279,23,-394,1,ios,-77,78,-152,-2,3,153,450,-350,350,550,-425,-275
dots,8,2.224731206893921,-239,55,0.6974632143974304,49,-383,1,ios,-216,66,-291,-141,-9,141,450,-350,350,550,-425,-275
dots,8,2.464844465255737,205,252,1.246733069419861,15,-401,1,ios,230,242,155,305,167,317,450,-350,350,550,-425,-275
dots,8,1.589636087417603,74,239,0.9969124794006348,21,-383,1,ios,58,241,-17,133,166,316,450,-350,350,550,-425,-275
dots,8,1.110944271087646,-97,236,0.9467215538024902,37,-396,1,ios,-89,232,-164,-14,157,307,450,-350,350,550,-425,-275
dots,8,1.225091695785522,-242,220,1.398774981498718,-14,-336,1,ios,-238,203,-313,-163,128,278,450,-350,350,550,-425,-275
dots,8,1.414149403572083,-54,231,1.263550758361816,0,-368,1,ios,-94,249,-169,-19,174,324,450,-350,350,550,-425,-275
dots,8,1.788145780563354,90,190,1.01507556438446,5,-381,1,ios,77,218,2,152,143,293,450,-350,350,550,-425,-275
dots,8,1.99311351776123,239,182,0.8809162378311157,-2,-397,1,ios,226,213,151,301,138,288,450,-350,350,550,-425,-275
dots,8,1.260923147201538,-187,73,2.229848861694336,-3,-374,1,ios,-204,85,-279,-129,10,160,450,-350,350,550,-425,-275
dots,8,1.369418978691101,-56,44,1.181940197944641,4,-387,1,ios,-64,76,-139,11,1,151,450,-350,350,550,-425,-275
dots,8,1.34342360496521,27,67,1.163309454917908,3,-396,1,ios,51,69,-24,126,-6,144,450,-350,350,550,-425,-275
dots,8,2.357889175415039,288,86,0.73163604736328125,43,-344,1,ios,250,97,175,325,22,172,450,-350,350,550,-425,-275
dots,8,1.364104270935059,-246,-87,1.279965281486511,21,-387,1,ios,-239,-55,-314,-164,-130,20,450,-350,350,550,-425,-275
dots,8,1.092975258827209,-56,-86,1.214298486709595,-4,-436,1,ios,-73,-92,-148,2,-167,-17,450,-350,350,550,-425,-275
