trialtype,setsize,time1,time2,id,platform,correct1,correct2
tray,8,1.67190265655518,1.27953398227692,1,ios,TRUE,FALSE
tray,8,1.12605392932892,1.06093454360962,1,ios,TRUE,FALSE
tray,8,2.59539866447449,0.962500929832458,1,ios,TRUE,FALSE
tray,8,2.60939073562622,0.863343954086304,1,ios,TRUE,FALSE
tray,8,1.59268403053284,0.930985808372498,1,ios,TRUE,FALSE
tray,8,1.1432626247406,0.895831227302551,1,ios,TRUE,FALSE
tray,8,2.14491081237793,0.879393815994263,1,ios,TRUE,FALSE
tray,8,1.6279524564743,0.946632564067841,1,ios,TRUE,FALSE
tray,8,2.55705046653748,1.64700961112976,1,ios,TRUE,FALSE
tray,8,2.02306628227234,0.970165312290192,1,ios,TRUE,FALSE
tray,8,1.08077192306519,1.32782483100891,1,ios,TRUE,FALSE
tray,8,1.49504923820496,0.879223048686981,1,ios,TRUE,FALSE
tray,8,1.36117458343506,0.879916965961456,1,ios,TRUE,FALSE
tray,8,2.25230288505554,0.979974627494812,1,ios,TRUE,FALSE
tray,8,2.04784226417542,0.561797857284546,1,ios,TRUE,FALSE
tray,8,1.67608630657196,1.24683773517609,1,ios,TRUE,FALSE
tray,8,2.49478244781494,0.916297793388367,1,ios,TRUE,FALSE
tray,8,2.29252195358276,0.580705523490906,1,ios,TRUE,FALSE
tray,8,1.90717339515686,1.19744646549225,1,ios,TRUE,FALSE
tray,8,1.44553208351135,1.59804236888885,1,ios,TRUE,FALSE
tray,8,1.31219291687012,1.4293532371521,1,ios,TRUE,FALSE
tray,8,1.44520127773285,1.11593568325043,1,ios,TRUE,FALSE
tray,8,1.4618159532547,1.34630703926086,1,ios,TRUE,FALSE
tray,8,1.69788575172424,0.948929071426392,1,ios,TRUE,FALSE
tray,8,1.61124265193939,1.18045878410339,1,ios,TRUE,FALSE
tray,8,1.90996932983398,1.06344258785248,1,ios,TRUE,FALSE
tray,8,1.52915489673615,0.948216676712036,1,ios,TRUE,FALSE
tray,8,1.68857753276825,0.91341495513916,1,ios,TRUE,FALSE
tray,8,1.57438492774963,1.38123524188995,1,ios,TRUE,FALSE
tray,8,1.37817096710205,0.963202357292175,1,ios,TRUE,FALSE
tray,8,1.24532318115234,1.84803676605225,1,ios,TRUE,FALSE
tray,8,1.13927626609802,1.51283156871796,1,ios,TRUE,FALSE
tray,8,1.51088690757752,0.598510086536407,1,ios,TRUE,FALSE
tray,8,1.49192023277283,0.813525140285492,1,ios,TRUE,FALSE
tray,8,1.04232239723206,1.23096776008606,1,ios,TRUE,FALSE
tray,8,1.04398167133331,2.61442542076111,1,ios,TRUE,FALSE
tray,8,1.11202847957611,1.57588815689087,1,ios,TRUE,FALSE
tray,8,1.08013844490051,1.2293838262558,1,ios,TRUE,FALSE
tray,8,1.22693645954132,1.44740450382233,1,ios,TRUE,FALSE
tray,8,1.57661473751068,1.1644446849823,1,ios,TRUE,FALSE
tray,8,1.23028218746185,1.01484799385071,1,ios,TRUE,FALSE
tray,8,1.21160268783569,1.08074390888214,1,ios,TRUE,FALSE
tray,8,1.65168511867523,1.77522623538971,1,ios,TRUE,FALSE
tray,8,1.10259175300598,0.96409010887146,1,ios,TRUE,FALSE
tray,8,1.64248478412628,1.04692959785461,1,ios,TRUE,FALSE
tray,8,0.841562569141388,1.2155327796936,1,ios,TRUE,FALSE
tray,8,1.74916064739227,0.950637638568878,1,ios,TRUE,FALSE
tray,8,1.02702307701111,2.72890996932983,1,ios,TRUE,FALSE
tray,8,1.12935769557953,1.66429722309113,1,ios,TRUE,FALSE
