ME,PH,TI,PE,EF,FR,OW,scale
1,0.57,0.58,0.36,0.76,0.54,0.84,ME
0.57,1,0.5,0.27,0.58,0.44,0.7,PH
0.58,0.5,1,0.32,0.66,0.52,0.67,TI
0.36,0.27,0.32,1,0.4,0.57,0.46,PE
0.76,0.58,0.66,0.4,1,0.69,0.84,EF
0.54,0.44,0.52,0.57,0.69,1,0.7,FR
0.84,0.7,0.67,0.46,0.84,0.7,1,OW
