numphoneme,phoneme,duration,timef,f0,f0max,f0min,f1,f2,f3,intensity,intensitymax,id,rec,reduction,position,manner,place,voicing,palatalization,stress
1,ɐ,0.104646653732421,0.524113764893704,129.681619450134,135.723977972046,124.424097944764,638.887302207363,1471.03399288252,2613.92290135424,80.0422822045679,81.4082392524159,subj1,1-1,2,I,NA,NA,NA,NA,2
2,t,0.139539006786865,0.646206595153347,139.702281916567,160.424943155585,128.985480565334,411.389671442745,1861.65799230715,2836.93428252939,59.3514480247848,77.5553421046919,subj1,1-1,0,C,P,D,U,-,C
3,n,0.0582679706604964,0.745110083877028,117.865008669636,141.923815905779,110.988620973692,374.172803799597,1332.43583037282,2625.40979028886,81.0345724766287,81.7920932280665,subj1,1-1,0,C,N,D,V,-,C
4,o,0.0632873805230723,0.805887759468812,108.192329368945,110.851937662066,104.476800350787,309.110408948865,1333.34474667173,2475.64335120527,78.6241834476192,79.6814010784829,subj1,1-1,1,S,NA,NA,NA,NA,1
5,sʲ,0.102280798728899,0.888671849094798,-1,104.433391824465,104.203470175868,423.274434097115,2683.07035451759,3746.46578224881,70.9157847362757,75.5534555864465,subj1,1-1,0,C,F,D,U,J,C
6,ə̝,0.0503536239896117,0.964989060454053,101.224645196378,106.226154229628,90.2541696545544,332.944563938816,1808.38897321376,2862.14947434912,71.9322300637339,73.1766197088978,subj1,1-1,3,T,NA,NA,NA,NA,3
7,ʦ,0.124310509224354,1.05232112706104,-1,-1,-1,518.320366337964,2460.30081282834,3778.00133224992,68.7959392847751,71.0813246931765,subj1,1-1,0,C,A,D,U,-,C
8,ə,0.0438374121521776,1.1363950877493,-1,-1,-1,602.286324134354,1611.49530998918,3226.76058323906,69.5627945128828,69.7025946988189,subj1,1-1,3,F,NA,NA,NA,NA,3
1,ɐ,0.0381158563226594,0.216675929641701,-1,-1,-1,651.224313031779,1793.45535113833,2609.07507119192,64.8749192257293,65.3851896266559,subj1,1-2,2,I,NA,NA,NA,NA,3
2,t,0.115312527355894,0.293390121480977,-1,-1,-1,354.928228228248,1560.08140377628,2734.4614109845,54.7739897012066,76.172633585163,subj1,1-2,0,C,P,D,U,-,C
3,n,0.0562199139127198,0.379156342115284,118.966400569109,120.640888165822,116.45993774728,291.240830209886,1641.36750199866,2613.15460168491,80.3123091524046,80.9369697514657,subj1,1-2,0,C,N,D,V,-,C
4,ɐ,0.0325562577754996,0.423544427959394,115.542260597128,116.753292444522,114.20825782438,293.214407157335,1985.27820371199,2625.40031239867,76.58539180357,77.9353669291427,subj1,1-2,2,R,NA,NA,NA,NA,2
5,sʲ,0.114830048161936,0.497237580928111,-1,114.49449389867,112.576748529389,1747.89911829817,2622.31615340263,3930.90182728213,68.778345470853,74.3449559183295,subj1,1-2,0,C,F,D,U,J,C
6,i,0.106145422670697,0.607725316344428,109.159275719888,136.041523433937,104.403243939335,278.345311069974,2188.13999894716,2912.49050141374,73.3253630405774,76.2662223822206,subj1,1-2,1,S,NA,NA,NA,NA,1
7,ts,0.152463425290638,0.737029740325095,-1,-1,-1,674.982929464106,2465.76324012215,3762.21677265881,69.2168377850936,72.0172164618861,subj1,1-2,0,C,NA,NA,NA,NA,C
8,ə,0.0716750246700213,0.849098965305425,102.730593873614,106.296207663788,97.1166321561737,556.792692668178,1659.75826814038,3607.76598426973,72.2746332484532,73.7255255827912,subj1,1-2,3,F,NA,NA,NA,NA,3
1,p,0.0462208902147279,0.208608242735187,-1,-1,-1,526.315053730051,2160.54724565526,3579.74600556769,61.4483942355083,74.0403376339146,subj1,10-1,0,C,P,B,U,-,C
2,ɫ,0.0718433402250662,0.267640357955085,119.374395823964,127.89907930043,118.014320396531,493.393521194131,881.366677541974,2627.44945519781,80.5649786757038,81.6966004166895,subj1,10-1,0,C,L,A,V,-,C
3,a,0.139667472605374,0.373395764370304,112.179596785255,119.137607244951,102.427913869419,568.777556168542,1545.37343326782,2467.68342838908,80.0187843191075,81.8012809149226,subj1,10-1,1,S,NA,NA,NA,NA,1
4,ʨ,0.139991611853322,0.513225306599652,-1,-1,-1,1796.76199761417,2486.28735098685,3333.63879302139,63.9208308295734,66.6112127527907,subj1,10-1,0,C,A,P,U,-,C
5,ə̝ᶷ,0.0720216019577131,0.619231913505169,102.35761420705,104.506654655755,94.5703654472163,297.437826448825,1330.02597149209,2583.14472669009,68.7036683500561,70.5511823616514,subj1,10-1,3,F,NA,NA,NA,NA,3
1,p,0.0432262950953778,0.203247556168611,-1,-1,-1,718.080770908718,880.68324826094,2492.27974330002,58.4306270430991,68.7098852292317,subj1,10-2,0,C,P,B,U,-,C
2,ɫ,0.039748317329083,0.244734862380842,116.13558542249,118.390764516038,115.250886184637,544.121690470647,1002.18858818231,2504.01864076566,75.2257036276364,77.0236107975624,subj1,10-2,0,C,L,A,V,-,C
3,ɐ,0.0496853966613538,0.28945171937606,116.8260508552,117.396158301142,115.898229261543,505.312638101694,1448.20896503104,2550.86112636055,77.54208655555,77.6942440065425,subj1,10-2,2,R,NA,NA,NA,NA,2
4,ʨ,0.15452158361681,0.391555209515142,115.91267841773,118.094440465384,113.855851107317,648.289880240119,2433.36216579042,2705.43308725614,67.3706393031829,75.3218225378423,subj1,10-2,0,C,A,P,U,-,C
5,u,0.155330262367103,0.546481132507099,104.815664011962,126.135988437015,95.5511600989768,361.378673431859,772.159138529368,2442.5238469371,75.5510542932372,79.0670898724522,subj1,10-2,1,S,NA,NA,NA,NA,1
1,vʲ,0.031549129773486,0.228178518867447,120.567427910383,128.585580753546,112.123720029954,368.371424355914,1240.03144421774,2159.33912498476,70.5279642469742,72.9852847574996,subj1,11-1,0,C,F,L,V,J,C
